interval|company_list
11-16|Patel Eng,Dewan Housing,Power Finance,Kamat Hotels,GMR Infra,Vertoz Advertis,Sagardeep Alloy
16-21|Innovana,Websol Energy,NFL,Hotel Leela
21-26|Manaksia Alumin,UCAL Fuel,Karnataka Bank,Paramount Comm,Guj Alkali,Guj Heavy Chem,India Glycols,Compuage Info,Prakash Constro,Simplex Infra,Tamilnadu Petro,Sintex Ind,Gokul Agro,Centum Electron,OM Metals Infra,Garden Reach Sh,SPIC,Reliance Home F,Satin Credit,TCI Finance,REC,PTC India Fin
26-31|Maan Aluminium,Bharat Gears,Dhanlaxmi Bank,JK Bank,Birla Cable,Surana Telecom,Electrosteel,Chemfab Alkalis,Phillips Carbon,Sree Rayalaseem,J Kumar Infra,HUDCO,DCM Shriram,Dynemic Product,Mazda,Pitti Engineeri,Eimco Elecon,GNFC,Oswal ChemandFe,ILandFS,Signet Ind,Hindustan Media
31-36|NALCO,Jullundur Motor,Lumax Inds,South Ind Bk,Aksh Optifibre,CMI,Vinyl Chemicals,D-Link India,IRB InvIT,ARSS Infra,RPP Infra Proj,Welspun Enter,Vascon Engineer,Orient Paper,Guj Amb Exports,Genus Power,Mangalore Chem,Aries Agro,Indiabulls Hsg,Opto Circuits,Superhouse,Eros Intl
36-41|GNA Axles,The Hi-Tech Gea,ACC,Excel,Ajmera Realty,Bhageria Indu,Ruchi Soya,Salzer Electro,Ircon Internati,Zuari Global,GIC Housing Fin,Nahar Capital,Prime Sec,Tourism Finance,TML-D
41-46|Century Extr,LG Balakrishnan,Rane Madras,Vindhya Telelin,Shree Pushkar,Hinduja Global,Dilip Buildcon,NCC,RITES,Bodal Chemicals,Poddar Pigments,Bharat Elec,Salasar Techno ,Chambal Fert,GSFC,Madras Fert,Indostar Capita,LIC Housing Fin,Kalyani Invest,Shriram Trans,Shriram City,Magma Fincorp,Capital Trust,Umang Dairies,BGR Energy,DB Corp,HT Media
46-51|Atul Auto,FIEM Ind,Jay BharatMarut,Rane Brake,Sharda Motor,Talbros Auto,RamkrishnaForge,Premier Explo,Jash Engineerin,Indo-National,Asahi Songwon,Bharat Bijlee,De Nora India,TIL,Repco Home,Muthoot Finance,Industrial Inv,Manappuram Fin,Indraprastha,Lokesh Machines,TV TodayNetwork,Cineline India,NDTV,Raj Television,Zee Media,Precision Wires
51-56|Banco Products,Munjal Showa,Federal Bank,MM Forgings,Deccan Cements,IG Petro,Jayant Agro-Org,Oriental Carbon,Panama Petro,Vishnu Chemical,Sphere Global,Sasken Tech,Career Point,JMC Projects,Man Infra,Hindustan Aeron,Nava Bharat Ven,GKW,Bharat Fin,Consol Finvest,PNB Housing Fin,Can Fin Homes,Rel Capital,VLS Finance,Oriental Hotels,Speciality Rest,HG Infra Engg,Power Mech,TV18 Broadcast,Shemaroo Ent,Hind Zinc
56-61|Automotive Axle,Yes Bank,Bhagyanagar Ind,Kalyani Forge,Himadri Special,Balaji Amines,Ashoka Buildcon,Gayatri Project,Apar Ind,Kirloskar Oil,Lakshmi Finance,Asian Hotel (E),JagranPrakashan,GTPL Hathway,Pressman Advt
61-66|Orient Abrasive,Shriram Pistons,India Nippon,Munjal Auto Ind,Remsons Ind,Rico Auto,Setco Auto,Canara Bank,Barak Vally Cem,Revathi CP,Wipro,Ramco System,Nila Infra,Sobha,Kiri Industries,Vidhi Spec,Swelect Energy,Hind Rectifiers,Rashtriya Chem,MAS Financial S,Keynote Corp,Muthoot Cap,SREI Infra
66-71|Hero Motocorp,Escorts,Harita Seating,PPAP Automotive,Precision Camsh,Steel Str Wheel,DCB Bank,SBI,Bank of Baroda,Union Bank,NRB Bearings,GM Breweries,Globus Spirits,Sterlite Techno,Nelcast,Heidelberg Cem,Gulshan Poly,HCL Tech,Tech Mahindra,ITD Cementation,Capacite Infra,Anant Raj,Brigade Ent,AksharChem,Honda Siel,Paisalo Digital,Cholamandalam,CreditAccess Gr,Parag Milk Food,EIH Assoc Hotel,Va Tech Wabag,Sreeleathers,Zee Entertain,Sun TV Network,Balaji Telefilm,Cubex Tubings
71-76|Jamna Auto,Syndicate Bank,Bharat Forge,Star Cement,Alkyl Amines,Godfrey Phillip,KNR Construct,Century,NESCO,Chromatic India,HPL Electric & ,Delta Magnets,Royal Orchid,Sadbhav Engg,Castrol,GP Petroleums,UFO Moviez
76-81|Bajaj Auto,M&M,Sandhar Technol,Punjab & Sind,Menon Bearings,Alicon Castallo,L&T Infotech,Mindtree,Mastek,Ahluwalia,PSP Projects,Karda Construct,Balmer Lawrie,AVT Natural,Action Const,Windsor,Greaves Cotton,Capri Global,M&M Financial,KRBL,LT Foods,EngineersInd
81-86|City Union Bank,Indian Bank,Sanghvi Forging,Ambuja Cements,MphasiS,Persistent,Saksoft,Puravankara,Bajaj Electric,Atul,Sundaram,Adani Ports,Texmaco Rail,Gulf Oil Lubric,INOX Leisure,Saregama India
86-91|Hind Composites,Aarti Ind,Navin Fluorine,Thirumalai Chem,Redington,PNC Infratech,Grasim,Coromandel Int,NBI Industrial,Max Financial,Apex Frozen,Apollo Sindoori,BEML,Mirza Intl,Tips Industries
91-96|Amara Raja Batt,Gabriel India,JBM Auto,Rain Industries,Fineotex Chem,VST,Ingersoll Rand,Infosys,Hexaware Tech,SQS India BFSI,Tata Elxsi,ECE Industries,Tide Water Oil
96-101|Avanti Feeds,Rane Holdings,Subros,Finolex Cables,NCL Industries,TCS,Oracle Fin Serv,Quick Heal Tech,BL Kashyap,Marathon Realty,HBL Power,Indbank Merchan
101-106|Lumax Auto Tech,IndusInd Bank,Radico Khaitan,Guj Flourochem,Cyient,Zee Learn,Swaraj Engines,Sundram,BLB,DFM Foods,La Opala RG,Music Broadcast,Tinplate
106-111|Suprajit Eng,Shanthi Gears,HDFC Bank,SKF India,J. K. Cement,Bigbloc Constru,Skipper,Motilal Oswal,CDSL,Shalby ,IRB Infra,MEP Infra,Bhartiya Inter,BAG Films
111-116|Sundaram-Clayto,Omax Autos,Axis Bank,IFB Agro,Tata Chemicals,Deepak Nitrite,ITC,IEX,Cummins,AB Money,Sundaram Fin,Poly Medicure,Advani Hotels
116-121|VST Tillers,RBL Bank,Vinati Organics,Intellect Desig,Mahindra Life,Hercules Hoists,STEL Holdings,ADF Foods,Prabhat Dairy,Asahi India,Larsen,Prime Focus
121-126|TVS Motor,Exide Ind,Minda Corp,Corporation Bk,Foseco India,Country Condos,Igarashi Motors,Alankit,Arman Financial,BHEL
126-131|Som Distillerie,HDIL,General Insuran,Praj Industries,Sterling Tools,HDFC AMC,Maha Rasht Apex,Heritage Foods,Thyrocare Techn,Indian Hotels,Hind Copper
131-136|Maruti Suzuki,Oriental Bank,Anjani Cement,Sunteck Realty,GlaxoSmith Con,Borosil Glass
136-141|Agro Tech Foods,Indo Thai Secu,Manpasand Bever,Titagarh Wagons
141-146|Wendt,Wheels,PNB,Newgen Software,Asian Hotel (W),ABB India
146-151|Cimmco,Geojit Fin,Mahindra Holida,NBCC (India)
151-156|Grindwell Norto,Ducon Infratech,Zensar Tech,Surana Solar
156-161|Bosch,ICICI Bank,Schaeffler Ind,AIA Engineering,TTK Prestige,Sudarshan Chem,GMM Pfaudler,ICICI Prudentia,AAVAS Financier,Bajaj Finance,Ent Network Ind
161-166|Timken,Ramco Cements,HDFC,Siemens,Bharat Road Net,PVR
166-171|Hind Motors,Federal-Mogul,Hilton Metal,Punjab Chemical,Walchandnagar,EIH,Bata India,Dish TV
171-176|NIIT Tech,DLF,Delta Corp,CG Consumer,Gujarat Apollo,AU Small Financ,Taj GVK Hotels
176-181|Bandhan Bank
181-186|Cerebra Int,Mahindra Logist,Apollo Hospital,Radaan Media
186-191|Hindalco,ICICI Lombard ,Triveni Turbine,SIL Invest
191-196|Prestige Estate,Dixon Technolog,Kabra Extrusion,Crest Ventures,Jubilant Food
196-201|Carborundum,WABCO India,Kotak Mahindra,Elgi Equipments,GRUH Finance,The Byke Hosp,Khadim India
201-206|Solar Ind,Quess Corp
206-211|Shree Cements,IFB Industries,Gati
211-216|United Spirits,Symphony,Varroc Engineer,Liberty Shoes
216-221|Prataap Snacks 
221-226|Jocil,Hind Constr
226-231|Sadbhav Infra
231-236|GOCL Corp,MT Educare,SBI Life Insura,Titan Company
236-241|UltraTechCement,Prism Cement
241-246|S H Kelkar,Havells India,Thermax
246-251|Britannia
251-256|Fairchem Spec,Rel Ind Infra,Relaxo Footwear
256-261|Endurance Techn
261-266|Karur Vysya,Blue Dart,3M India,IDFC
266-271|Pidilite Ind,Hubtown,BF Investment,SKM Egg Product
271-276|Linde India,Elecon Eng
276-281|JMT Auto,JK Lakshmi Cem,Vadivarhe Speci,V-Guard Ind,AGL
281-286|Narayana Hruda
296-301|Nestle,HDFC Life
301-306|Tata Inv Corp
311-316|Tasty Bite,Info Edge
316-321|Minda Ind,Whirlpool,JSW Holdings
321-326|Motherson Sumi,Voltas
326-331|Vikas Ecotech,Phoenix Mills
331-336|United Brewerie,Ashiana Housing,Arihant Found
341-346|Oberoi Realty
351-356|Ganges Securiti,Asian Hotels
356-361|JTEKT India 
366-371|Arihant Super,Mirc Electronic,Ujjivan Financi
376-381|Autolite India
381-386|Emkay Global
386-391|Butterfly
391-396|Mask Investment
396-401|Almondz Global
411-416|India Tourism D
416-421|Nalwa Sons
426-431|Kirloskar Ind
451-456|Inventure Grow
456-461|Sasta Sundar
511-516|Future Consumer
521-526|TVS Electronics
526-531|Lemon Tree Hote
561-566|Birla Corp
576-581|Shriram EPC
591-596|Mindteck
601-606|IIFL Holdings
621-626|Bajaj Holdings,Hatsun Agro
626-631|Ganesh Housing
661-666|GPT Infra
696-701|Mah Scooters
721-726|Hathway Cable
771-776|Sundaram Brake
806-811|Edelweiss
816-821|Emami Realty 
826-831|HMT
836-841|Palash Securiti
851-856|Vardhman Hold
856-861|Landmark Prop
871-876|Kokuyo Camlin
891-896|Alkali Metals
901-906|AGC Networks
921-926|Omaxe
926-931|Onelife Capital
941-946|Mangalam Cement
946-951|IMP Powers
961-966|Deepak Fert,Texmaco Infra
981-986|India Cements
1011-1016|Weizmann Forex
1111-1116|Indiabulls Vent
1141-1146|Aptech
1186-1191|Vipul
1216-1221|Optiemus Infra
1391-1396|Cinevista
1431-1436|Prozone Intu
1486-1491|Equitas Holding
1546-1551|Lotus Eye Care
1721-1726|Summit Sec
3356-3361|Veto Switch
3726-3731|Godrej Prop
4196-4201|Tarmat
4376-4381|JM Financial
4756-4761|UPL
7266-7271|Eveready Ind
14411-14416|Bajaj Finserv
34981-34986|Sagar Cement
